epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.259,1.42511,2.94146,1.50204,0.37676,0.3143,0.27696,0.14502,1.55273,2.10466,1.51125,0.000236065,0.000236065,0.000236065
2,98.4515,1.34055,1.97548,1.46855,0.49621,0.36671,0.37039,0.19532,1.4907,1.8574,1.45692,0.000464679,0.000464679,0.000464679
3,145.46,1.3193,1.78294,1.4408,0.55405,0.38128,0.39253,0.20014,1.54569,1.84431,1.53706,0.000683867,0.000683867,0.000683867
4,192.247,1.29015,1.67024,1.42252,0.6387,0.434,0.48112,0.26269,1.44177,1.595,1.41731,0.000671588,0.000671588,0.000671588
5,239.897,1.252,1.59841,1.39688,0.60889,0.46023,0.48266,0.26479,1.39248,1.51578,1.41348,0.000657451,0.000657451,0.000657451
6,288.136,1.23925,1.5541,1.37893,0.66548,0.47795,0.52901,0.29197,1.37136,1.48198,1.38075,0.000643314,0.000643314,0.000643314
7,335.762,1.21574,1.47444,1.3593,0.69058,0.49155,0.55231,0.30974,1.36397,1.39715,1.37511,0.000629177,0.000629177,0.000629177
8,383.296,1.20203,1.44726,1.35113,0.63812,0.48675,0.53116,0.29252,1.36084,1.45541,1.36203,0.00061504,0.00061504,0.00061504
9,430.311,1.19028,1.38545,1.33162,0.68177,0.51433,0.57222,0.3335,1.31375,1.31931,1.31996,0.000600902,0.000600902,0.000600902
10,477.344,1.16745,1.35647,1.31601,0.70973,0.51242,0.56722,0.32593,1.32032,1.32127,1.33219,0.000586765,0.000586765,0.000586765
11,524.326,1.14384,1.30559,1.30752,0.72226,0.53968,0.60311,0.34222,1.32137,1.25634,1.33198,0.000572628,0.000572628,0.000572628
12,571.018,1.14849,1.28253,1.30283,0.73809,0.5369,0.61406,0.35958,1.28338,1.18958,1.29203,0.000558491,0.000558491,0.000558491
13,618.012,1.136,1.25303,1.29513,0.72375,0.55227,0.61618,0.35893,1.26378,1.1877,1.26936,0.000544354,0.000544354,0.000544354
14,665.242,1.12525,1.25305,1.28843,0.74585,0.55136,0.62278,0.36005,1.29104,1.19031,1.29826,0.000530216,0.000530216,0.000530216
