epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0827,1.40193,2.90789,1.54249,0.38821,0.32344,0.29551,0.15355,1.51347,2.09119,1.5318,0.000236065,0.000236065,0.000236065
2,140.175,1.34219,2.02313,1.51059,0.50263,0.37446,0.38339,0.20053,1.49236,1.91392,1.52083,0.000464679,0.000464679,0.000464679
3,209.232,1.31513,1.83471,1.48201,0.5188,0.41232,0.42434,0.2218,1.51409,1.75826,1.53289,0.000683867,0.000683867,0.000683867
4,280.454,1.288,1.7322,1.45282,0.63054,0.42207,0.47174,0.25139,1.45492,1.70363,1.51017,0.000671588,0.000671588,0.000671588
5,351.089,1.25544,1.64901,1.43693,0.60698,0.45564,0.49352,0.26529,1.42512,1.62958,1.49302,0.000657451,0.000657451,0.000657451
6,419.424,1.2309,1.5886,1.41376,0.63996,0.49036,0.53229,0.29116,1.40437,1.54955,1.46193,0.000643314,0.000643314,0.000643314
7,486.872,1.21739,1.51825,1.40286,0.69665,0.51328,0.56804,0.31755,1.37129,1.42857,1.43294,0.000629177,0.000629177,0.000629177
8,554.929,1.20333,1.49033,1.39007,0.68519,0.4981,0.56728,0.31204,1.36189,1.49304,1.41892,0.00061504,0.00061504,0.00061504
9,621.766,1.19131,1.40878,1.36957,0.70571,0.52704,0.59769,0.34138,1.34853,1.34963,1.39678,0.000600902,0.000600902,0.000600902
10,690.05,1.16894,1.38561,1.35639,0.70297,0.54118,0.60595,0.35123,1.31118,1.31914,1.37603,0.000586765,0.000586765,0.000586765
11,758.581,1.14716,1.33498,1.34271,0.70993,0.52642,0.59807,0.34372,1.3109,1.36002,1.37109,0.000572628,0.000572628,0.000572628
12,827.493,1.14495,1.30917,1.33938,0.71937,0.5483,0.61734,0.34085,1.35618,1.32395,1.39928,0.000558491,0.000558491,0.000558491
13,896.014,1.13279,1.27471,1.32973,0.72109,0.56619,0.63133,0.36225,1.31062,1.27485,1.3543,0.000544354,0.000544354,0.000544354
14,963.859,1.12647,1.27542,1.32837,0.7545,0.58026,0.65865,0.38048,1.27108,1.18737,1.34781,0.000530216,0.000530216,0.000530216
15,1033.26,1.11976,1.23802,1.31187,0.76187,0.56594,0.64839,0.3804,1.28295,1.21783,1.32899,0.000516079,0.000516079,0.000516079
16,1100.71,1.11381,1.211,1.31065,0.76531,0.58604,0.66814,0.39576,1.2501,1.15682,1.31511,0.000501942,0.000501942,0.000501942
17,1170.41,1.0917,1.18796,1.29983,0.77293,0.60542,0.67742,0.39436,1.26476,1.13201,1.32614,0.000487805,0.000487805,0.000487805
18,1238.75,1.09162,1.145,1.29414,0.78267,0.59467,0.67568,0.4062,1.23819,1.12093,1.29777,0.000473668,0.000473668,0.000473668
19,1307.57,1.08397,1.13928,1.29058,0.76776,0.61237,0.68738,0.40954,1.24725,1.09678,1.30541,0.00045953,0.00045953,0.00045953
20,1374.25,1.07619,1.12524,1.28133,0.77671,0.60888,0.68389,0.40376,1.27074,1.10624,1.32032,0.000445393,0.000445393,0.000445393
21,1441.72,1.06369,1.10468,1.27831,0.77548,0.62975,0.70102,0.41856,1.22442,1.05023,1.28485,0.000431256,0.000431256,0.000431256
22,1507.13,1.04892,1.07651,1.2668,0.77869,0.63269,0.70317,0.4247,1.22965,1.0344,1.2847,0.000417119,0.000417119,0.000417119
23,1576.69,1.04349,1.07394,1.26125,0.79208,0.62556,0.70697,0.42673,1.2103,1.01081,1.25436,0.000402982,0.000402982,0.000402982
24,1645.41,1.04879,1.05096,1.25912,0.8118,0.62471,0.7138,0.44001,1.17498,1.02089,1.25064,0.000388844,0.000388844,0.000388844
25,1714.79,1.0347,1.04403,1.24805,0.78442,0.64175,0.71834,0.44164,1.17585,1.00676,1.25035,0.000374707,0.000374707,0.000374707
26,1783.14,1.02457,1.02925,1.24494,0.80947,0.64126,0.7268,0.45,1.1787,0.97833,1.24659,0.00036057,0.00036057,0.00036057
27,1852.85,1.01074,1.00516,1.23752,0.82041,0.64061,0.72369,0.4531,1.16572,0.97271,1.23641,0.000346433,0.000346433,0.000346433
28,1920.37,1.00492,0.99379,1.23406,0.82848,0.64447,0.73726,0.46203,1.1544,0.92778,1.22296,0.000332296,0.000332296,0.000332296
29,1989.88,0.99076,0.97796,1.22157,0.8324,0.64633,0.73725,0.45672,1.16329,0.93451,1.22998,0.000318158,0.000318158,0.000318158
30,2057.87,0.99307,0.96911,1.2207,0.8223,0.64354,0.73225,0.45664,1.15809,0.94541,1.2309,0.000304021,0.000304021,0.000304021
31,2126.7,0.99318,0.95952,1.22102,0.82779,0.65774,0.74593,0.46497,1.15668,0.92094,1.22455,0.000289884,0.000289884,0.000289884
32,2195.71,0.97724,0.94637,1.21505,0.83206,0.66223,0.75183,0.47354,1.12821,0.88799,1.20328,0.000275747,0.000275747,0.000275747
33,2264.39,0.95397,0.91984,1.20491,0.8259,0.66371,0.74947,0.47635,1.1262,0.87667,1.20431,0.00026161,0.00026161,0.00026161
34,2333.85,0.96153,0.92768,1.20591,0.82517,0.67992,0.75673,0.48014,1.12812,0.85838,1.20546,0.000247472,0.000247472,0.000247472
35,2403.17,0.95759,0.90698,1.20023,0.82749,0.67236,0.75256,0.47673,1.12353,0.87843,1.19947,0.000233335,0.000233335,0.000233335
36,2471.45,0.95583,0.90395,1.19678,0.83167,0.68109,0.76132,0.48337,1.13096,0.85675,1.20492,0.000219198,0.000219198,0.000219198
37,2539.69,0.94262,0.8801,1.18813,0.84485,0.66936,0.76331,0.48938,1.10733,0.85376,1.18725,0.000205061,0.000205061,0.000205061
38,2608.6,0.95365,0.8866,1.19129,0.84732,0.66685,0.76048,0.49078,1.10197,0.85375,1.18316,0.000190924,0.000190924,0.000190924
39,2676.41,0.94249,0.87522,1.17829,0.83878,0.68304,0.76621,0.49276,1.0911,0.81934,1.17444,0.000176786,0.000176786,0.000176786
40,2745.78,0.92745,0.86732,1.1795,0.84558,0.68952,0.77104,0.49919,1.08841,0.81057,1.17212,0.000162649,0.000162649,0.000162649
41,2813.78,0.9644,0.81614,1.20274,0.84422,0.67837,0.76435,0.49392,1.09115,0.82182,1.17799,0.000148512,0.000148512,0.000148512
