epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.306,1.60662,3.0002,1.64138,0.40604,0.30938,0.28331,0.13524,1.6887,2.11968,1.61799,0.000236065,0.000236065,0.000236065
2,500.463,1.48865,2.05203,1.59182,0.46116,0.38793,0.36395,0.17763,1.60123,1.82326,1.56015,0.000464679,0.000464679,0.000464679
3,555.94,1.4418,1.85321,1.54724,0.5558,0.39151,0.41115,0.20108,1.66287,1.75695,1.58971,0.000683867,0.000683867,0.000683867
4,608.204,1.40154,1.73686,1.52174,0.59787,0.41054,0.44273,0.22112,1.55504,1.68893,1.54355,0.000671588,0.000671588,0.000671588
5,661.842,1.36711,1.66062,1.49528,0.62089,0.45832,0.48814,0.25669,1.51528,1.58385,1.46302,0.000657451,0.000657451,0.000657451
6,714.439,1.3564,1.61748,1.47479,0.60354,0.45851,0.49306,0.25122,1.55684,1.58886,1.51133,0.000643314,0.000643314,0.000643314
7,766.151,1.32658,1.54122,1.4543,0.62634,0.45942,0.49967,0.26654,1.48165,1.52474,1.45244,0.000629177,0.000629177,0.000629177
8,819.655,1.31078,1.526,1.44462,0.68945,0.49288,0.54996,0.30793,1.39183,1.37676,1.38187,0.00061504,0.00061504,0.00061504
9,871.672,1.3015,1.45208,1.42517,0.69801,0.49838,0.56111,0.29924,1.47239,1.38525,1.40882,0.000600902,0.000600902,0.000600902
10,924.961,1.27954,1.43323,1.40534,0.70465,0.49453,0.55766,0.31302,1.42044,1.38415,1.38428,0.000586765,0.000586765,0.000586765
11,977.148,1.25873,1.38986,1.40137,0.7241,0.528,0.58871,0.3213,1.41547,1.31131,1.39694,0.000572628,0.000572628,0.000572628
12,1029.95,1.2613,1.36274,1.39537,0.73347,0.52433,0.60708,0.34399,1.37123,1.2438,1.34927,0.000558491,0.000558491,0.000558491
13,1082.55,1.23422,1.33388,1.37859,0.71984,0.54763,0.60438,0.3261,1.42688,1.26231,1.36404,0.000544354,0.000544354,0.000544354
14,1133.67,1.23744,1.32507,1.37881,0.7443,0.5513,0.62288,0.35595,1.3446,1.18638,1.31894,0.000530216,0.000530216,0.000530216
15,1187.7,1.23021,1.29093,1.36523,0.72192,0.55696,0.6186,0.35389,1.35876,1.21827,1.32544,0.000516079,0.000516079,0.000516079
16,1238.55,1.22066,1.27085,1.36071,0.73332,0.56599,0.63186,0.35361,1.36818,1.17665,1.32623,0.000501942,0.000501942,0.000501942
17,1291.2,1.20398,1.25414,1.35351,0.76813,0.56253,0.64099,0.36448,1.35717,1.17875,1.32038,0.000487805,0.000487805,0.000487805
18,1344.29,1.20143,1.22284,1.34875,0.73944,0.54853,0.62481,0.36076,1.34247,1.18291,1.30463,0.000473668,0.000473668,0.000473668
19,1395.45,1.1888,1.19864,1.33919,0.74985,0.57742,0.64403,0.36239,1.35313,1.15188,1.31719,0.00045953,0.00045953,0.00045953
20,1448.99,1.19138,1.19259,1.33734,0.75262,0.58376,0.65409,0.37145,1.33731,1.11436,1.30565,0.000445393,0.000445393,0.000445393
21,1500.8,1.17423,1.17452,1.32921,0.76041,0.59362,0.66182,0.36807,1.36468,1.10203,1.31766,0.000431256,0.000431256,0.000431256
22,1552.17,1.15353,1.15496,1.32042,0.79175,0.5981,0.67155,0.39657,1.28996,1.04403,1.26803,0.000417119,0.000417119,0.000417119
23,1605.4,1.15341,1.14866,1.31542,0.79508,0.59604,0.67608,0.39571,1.30173,1.03137,1.26703,0.000402982,0.000402982,0.000402982
24,1656.47,1.16725,1.13211,1.31658,0.79585,0.59795,0.67919,0.39561,1.28421,1.02698,1.25847,0.000388844,0.000388844,0.000388844
25,1709.17,1.14402,1.11584,1.30371,0.7984,0.60968,0.68791,0.40948,1.26144,1.0042,1.2425,0.000374707,0.000374707,0.000374707
26,1762.07,1.14043,1.10142,1.30026,0.77215,0.60848,0.68247,0.40842,1.25778,1.00663,1.23926,0.00036057,0.00036057,0.00036057
27,1814.19,1.1342,1.07719,1.29406,0.78579,0.61595,0.68773,0.41097,1.26187,0.98155,1.24398,0.000346433,0.000346433,0.000346433
28,1866.82,1.12354,1.07873,1.28707,0.7883,0.61307,0.6964,0.41581,1.24967,0.97842,1.23761,0.000332296,0.000332296,0.000332296
29,1918.3,1.11012,1.0537,1.27933,0.79873,0.61949,0.70137,0.42033,1.25314,0.96191,1.23818,0.000318158,0.000318158,0.000318158
30,1970.74,1.11446,1.04805,1.27927,0.80824,0.62336,0.70571,0.42295,1.24754,0.95268,1.23682,0.000304021,0.000304021,0.000304021
31,2023.48,1.10676,1.03901,1.27712,0.79429,0.61847,0.69489,0.42072,1.25228,0.98648,1.23309,0.000289884,0.000289884,0.000289884
32,2076.7,1.10266,1.0187,1.27265,0.82193,0.61416,0.70504,0.42585,1.22723,0.93487,1.21191,0.000275747,0.000275747,0.000275747
33,2130.4,1.08315,0.99949,1.26107,0.80406,0.63371,0.71192,0.42741,1.23841,0.93157,1.22313,0.00026161,0.00026161,0.00026161
34,2182.74,1.08622,1.00864,1.26744,0.82641,0.63146,0.71611,0.43556,1.22445,0.91408,1.21778,0.000247472,0.000247472,0.000247472
35,2237.34,1.07847,0.98219,1.25592,0.79152,0.63932,0.71263,0.4325,1.22542,0.91968,1.2095,0.000233335,0.000233335,0.000233335
36,2289.27,1.07328,0.98673,1.25539,0.81486,0.64825,0.72403,0.43356,1.23118,0.88844,1.21532,0.000219198,0.000219198,0.000219198
37,2342.77,1.07374,0.97168,1.2487,0.81884,0.63628,0.72068,0.4365,1.21481,0.89572,1.20335,0.000205061,0.000205061,0.000205061
38,2395.75,1.07328,0.96981,1.24786,0.81188,0.65508,0.72756,0.44819,1.20124,0.87102,1.19407,0.000190924,0.000190924,0.000190924
39,2448.25,1.05809,0.95508,1.2365,0.81595,0.65607,0.73494,0.44551,1.21006,0.87001,1.18912,0.000176786,0.000176786,0.000176786
40,2501.07,1.04958,0.94575,1.23393,0.82064,0.657,0.73515,0.45604,1.18808,0.84859,1.17668,0.000162649,0.000162649,0.000162649
41,2554.63,1.05633,0.8839,1.24914,0.82172,0.64757,0.72747,0.44861,1.18243,0.86635,1.18457,0.000148512,0.000148512,0.000148512
42,2605.43,1.0319,0.83782,1.22919,0.83539,0.64903,0.73739,0.4569,1.18104,0.83519,1.17498,0.000134375,0.000134375,0.000134375
43,2656.03,1.02953,0.83223,1.22828,0.832,0.65685,0.73863,0.45924,1.17208,0.8253,1.1654,0.000120238,0.000120238,0.000120238
44,2705.7,1.0132,0.812,1.21445,0.83152,0.65769,0.74109,0.4618,1.17048,0.82644,1.16636,0.0001061,0.0001061,0.0001061
