epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.17,1.35942,2.21982,1.45675,0.54379,0.44625,0.44633,0.24951,1.38407,1.58027,1.37603,0.000236065,0.000236065,0.000236065
2,211.887,1.24594,1.51428,1.36933,0.61024,0.43642,0.47605,0.26058,1.39783,1.56335,1.38617,0.000464679,0.000464679,0.000464679
3,266.475,1.25741,1.44327,1.37135,0.65359,0.4633,0.5092,0.27532,1.45813,1.50949,1.46007,0.000683867,0.000683867,0.000683867
4,321.332,1.23889,1.39163,1.36351,0.65953,0.50612,0.55417,0.30788,1.38083,1.36695,1.37953,0.000671588,0.000671588,0.000671588
5,376.634,1.20461,1.33428,1.34378,0.67486,0.51664,0.56312,0.31677,1.3611,1.35757,1.35595,0.000657451,0.000657451,0.000657451
6,431.311,1.17502,1.26993,1.32168,0.74032,0.55665,0.62666,0.36482,1.29182,1.18853,1.30966,0.000643314,0.000643314,0.000643314
7,486.772,1.16489,1.2169,1.31298,0.7376,0.5725,0.63284,0.36326,1.29868,1.1665,1.30446,0.000629177,0.000629177,0.000629177
8,539.873,1.13944,1.18565,1.30116,0.74937,0.5628,0.63443,0.36103,1.31654,1.13643,1.31986,0.00061504,0.00061504,0.00061504
9,592.938,1.12328,1.11943,1.27664,0.75404,0.57286,0.64847,0.38581,1.24768,1.07826,1.2728,0.000600902,0.000600902,0.000600902
10,647.047,1.09758,1.09644,1.26219,0.76839,0.58846,0.65429,0.38726,1.24426,1.08923,1.27446,0.000586765,0.000586765,0.000586765
11,702.128,1.06831,1.05229,1.24435,0.79734,0.60054,0.68761,0.41198,1.22852,1.00703,1.2468,0.000572628,0.000572628,0.000572628
12,756.62,1.06893,1.02787,1.24267,0.78122,0.62921,0.7017,0.42873,1.18516,0.94155,1.21961,0.000558491,0.000558491,0.000558491
13,810.992,1.03901,0.9762,1.22601,0.79925,0.63396,0.70942,0.43222,1.18638,0.93858,1.21076,0.000544354,0.000544354,0.000544354
14,865.405,1.04381,0.99394,1.23045,0.79319,0.63619,0.70923,0.43172,1.19324,0.93675,1.22209,0.000530216,0.000530216,0.000530216
15,918.11,1.02559,0.94526,1.20818,0.79712,0.63832,0.71354,0.44255,1.16434,0.90786,1.18682,0.000516079,0.000516079,0.000516079
16,972.565,1.01554,0.92945,1.20467,0.82419,0.64144,0.72181,0.45314,1.14043,0.89611,1.18032,0.000501942,0.000501942,0.000501942
17,1026.71,0.99402,0.91382,1.19328,0.81456,0.65549,0.72952,0.4564,1.1617,0.86127,1.18955,0.000487805,0.000487805,0.000487805
18,1081.53,0.99124,0.88263,1.19141,0.81759,0.64726,0.72977,0.46138,1.13947,0.86098,1.17529,0.000473668,0.000473668,0.000473668
19,1135.03,0.97678,0.86641,1.17961,0.81175,0.66579,0.73698,0.46841,1.11692,0.84214,1.16364,0.00045953,0.00045953,0.00045953
20,1189.55,0.97568,0.86092,1.17494,0.82183,0.66117,0.73873,0.46243,1.14355,0.84115,1.17337,0.000445393,0.000445393,0.000445393
21,1241.95,0.95635,0.84051,1.16641,0.83291,0.68571,0.75873,0.49001,1.07224,0.78104,1.12617,0.000431256,0.000431256,0.000431256
22,1296.05,0.94115,0.81964,1.15947,0.83717,0.65832,0.74572,0.47408,1.10122,0.81574,1.14953,0.000417119,0.000417119,0.000417119
23,1348.23,0.93931,0.81939,1.156,0.838,0.68489,0.7599,0.48571,1.10057,0.78127,1.13736,0.000402982,0.000402982,0.000402982
24,1400.64,0.93087,0.79561,1.14842,0.84886,0.68408,0.76266,0.49133,1.07852,0.77587,1.13318,0.000388844,0.000388844,0.000388844
25,1455.28,0.91393,0.78229,1.13661,0.83789,0.69411,0.76737,0.50278,1.05381,0.74225,1.1126,0.000374707,0.000374707,0.000374707
26,1509.03,0.90913,0.77316,1.13657,0.84362,0.69466,0.77339,0.50701,1.06065,0.73683,1.11816,0.00036057,0.00036057,0.00036057
27,1562.94,0.89712,0.75826,1.12914,0.84878,0.69984,0.77559,0.50964,1.05064,0.7223,1.10932,0.000346433,0.000346433,0.000346433
28,1616.95,0.88767,0.74388,1.11905,0.86075,0.70008,0.77901,0.50873,1.05416,0.71275,1.11068,0.000332296,0.000332296,0.000332296
29,1667.85,0.87232,0.72652,1.11473,0.85415,0.70961,0.78419,0.51822,1.03215,0.69601,1.10408,0.000318158,0.000318158,0.000318158
30,1722.23,0.86757,0.71884,1.10639,0.86465,0.71355,0.79047,0.52947,1.00542,0.67642,1.07792,0.000304021,0.000304021,0.000304021
31,1775.45,0.86413,0.70744,1.10651,0.86298,0.71249,0.79137,0.52712,1.01289,0.67921,1.0871,0.000289884,0.000289884,0.000289884
32,1828.76,0.85001,0.69078,1.10032,0.85594,0.71025,0.78827,0.52406,1.00937,0.68379,1.0813,0.000275747,0.000275747,0.000275747
33,1880.38,0.82756,0.66904,1.09074,0.87249,0.7196,0.79707,0.53503,0.99617,0.66178,1.07138,0.00026161,0.00026161,0.00026161
