timestamp,violation
2026-04-09 22:06:16,NO-Hardhat
2026-04-09 22:06:16,NO-Mask
2026-04-09 22:06:18,NO-Safety Vest
2026-04-09 22:06:23,NO-Safety Vest
2026-04-10 10:46:38,NO-Mask
2026-04-10 10:46:38,NO-Hardhat
2026-04-10 10:46:39,NO-Hardhat
2026-04-10 10:46:39,NO-Mask
2026-04-10 10:46:40,NO-Mask
2026-04-10 10:46:41,NO-Mask
2026-04-10 10:46:41,NO-Mask
2026-04-10 10:46:43,NO-Mask
2026-04-10 10:46:44,NO-Hardhat
2026-04-10 10:46:45,NO-Hardhat
2026-04-10 10:46:46,NO-Hardhat
2026-04-10 10:46:47,NO-Mask
2026-04-10 10:46:48,NO-Hardhat
2026-04-10 10:46:48,NO-Hardhat
2026-04-10 10:46:49,NO-Hardhat
2026-04-10 10:46:50,NO-Hardhat
2026-04-10 10:46:51,NO-Mask
2026-04-10 10:46:51,NO-Hardhat
2026-04-10 10:46:51,NO-Mask
2026-04-10 10:46:52,NO-Hardhat
2026-04-10 10:47:04,NO-Hardhat
2026-04-10 10:47:07,NO-Hardhat
2026-04-10 10:47:08,NO-Hardhat
2026-04-10 10:47:17,NO-Mask
2026-04-10 10:47:17,NO-Hardhat
2026-04-10 10:47:18,NO-Hardhat
2026-04-10 10:47:19,NO-Hardhat
2026-04-10 10:47:21,NO-Hardhat
2026-04-10 10:47:22,NO-Hardhat
2026-04-10 10:47:23,NO-Hardhat
2026-04-10 10:47:24,NO-Hardhat
2026-04-10 10:47:25,NO-Hardhat
2026-04-10 10:47:26,NO-Hardhat
2026-04-10 10:47:27,NO-Hardhat
2026-04-10 10:47:28,NO-Hardhat
2026-04-10 10:47:29,NO-Hardhat
2026-04-10 10:47:29,NO-Hardhat
2026-04-10 10:57:00,NO-Mask
2026-04-10 10:57:00,NO-Safety Vest
2026-04-10 10:57:03,NO-Hardhat
2026-04-10 10:57:03,NO-Mask
2026-04-10 10:57:03,NO-Hardhat
2026-04-10 10:57:03,NO-Mask
2026-04-10 10:57:03,NO-Safety Vest
2026-04-10 10:57:04,NO-Mask
2026-04-10 10:57:04,NO-Safety Vest
2026-04-10 10:57:04,NO-Mask
2026-04-10 10:57:04,NO-Mask
2026-04-10 10:57:04,NO-Safety Vest
2026-04-10 10:57:05,NO-Hardhat
2026-04-10 10:57:05,NO-Mask
2026-04-10 10:57:05,NO-Safety Vest
2026-04-10 10:57:05,NO-Mask
2026-04-10 10:57:05,NO-Safety Vest
2026-04-10 10:57:06,NO-Hardhat
